Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mlg,age,make,model,mileage_new,engine_new,power_new,KM_Driven
Delhi,Petrol,Manual,Second,5.0,2.74,22.5,8,maruti,wagon,22.5,998.0,67.04,45
Jaipur,Petrol,Manual,First,5.0,3.5,19.4,7,honda,brio,19.4,1198.0,86.8,53
Kochi,Petrol,Manual,First,5.0,4.76,17.0,6,hyundai,i20,17.0,1197.0,80.0,55
Pune,Diesel,Manual,Second,5.0,2.35,18.7,12,skoda,octavia,18.7,1896.0,66.0,82
Hyderabad,Petrol,Manual,First,5.0,3.65,21.1,3,hyundai,eon,21.1,814.0,55.2,31
Coimbatore,Petrol,Manual,Second,5.0,6.26,18.6,4,maruti,swift,18.6,1197.0,85.8,18
Coimbatore,Petrol,Manual,First,5.0,7.8,18.6,2,hyundai,i20,18.6,1197.0,81.83,22
Bangalore,Petrol,Manual,First,5.0,4.25,19.4,6,honda,brio,19.4,1198.0,86.8,43
Kochi,Petrol,Manual,First,5.0,4.86,17.5,6,maruti,swift,17.5,1298.0,85.8,49
Delhi,Petrol,Manual,First,5.0,4.9,18.9,3,hyundai,grand,18.9,1197.0,81.86,12
Coimbatore,Petrol,Manual,First,5.0,3.22,24.07,9,maruti,alto,24.07,998.0,67.1,48
Kolkata,Diesel,Manual,First,5.0,3.25,22.07,6,volkswagen,polo,22.07,1199.0,73.9,30
Delhi,Petrol,Manual,First,5.0,4.53,18.9,4,hyundai,grand,18.9,1197.0,82.0,81
Chennai,Petrol,Manual,First,5.0,2.25,15.7,10,fiat,punto,15.7,1172.0,67.0,72
Pune,Diesel,Manual,Second,8.0,8.0,12.99,9,toyota,innova,12.99,2494.0,100.0,156
Kochi,Diesel,Automatic,First,7.0,8.37,18.49,3,mahindra,tuv,18.49,1493.0,100.0,47
Coimbatore,Diesel,Manual,First,5.0,5.39,20.14,5,volkswagen,polo,20.14,1498.0,88.8,61
Kochi,Petrol,Manual,First,5.0,6.03,18.9,2,hyundai,grand,18.9,1197.0,81.86,10
Chennai,Petrol,Automatic,First,5.0,3.96,16.95,7,hyundai,i10,16.95,1197.0,78.9,21
Hyderabad,Diesel,Manual,First,5.0,4.6,23.0,9,hyundai,i20,23.0,1396.0,90.0,113
Mumbai,Petrol,Manual,First,5.0,3.25,19.4,7,honda,brio,19.4,1198.0,86.8,63
Jaipur,Petrol,Manual,First,5.0,6.25,18.6,3,hyundai,i20,18.6,1197.0,81.83,58
Pune,Petrol,Automatic,First,5.0,7.8,19.0,2,honda,amaze,19.0,1199.0,88.76,1
Kochi,Petrol,Manual,First,5.0,3.7,19.81,7,hyundai,i10,19.81,1086.0,68.05,34
Hyderabad,Petrol,Manual,First,5.0,4.0,17.0,8,hyundai,i20,17.0,1197.0,80.0,58
Kochi,Petrol,Manual,First,5.0,5.44,20.4,3,maruti,swift,20.4,1197.0,81.8,37
Delhi,Petrol,Automatic,First,5.0,6.2,21.4,3,maruti,baleno,21.4,1197.0,83.1,44
Kolkata,Petrol,Manual,First,5.0,0.9,13.2,15,hyundai,accent,13.2,1495.0,94.0,45
Mumbai,Petrol,Manual,First,5.0,3.95,18.5,4,maruti,ritz,18.5,1197.0,85.8,11
Pune,Petrol,Manual,Second,4.0,0.44,26.0,9,tata,nano,26.0,624.0,35.0,65
Ahmedabad,Diesel,Manual,First,5.0,2.75,20.0,8,ford,figo,20.0,1399.0,68.0,55
Chennai,Diesel,Manual,Second,5.0,2.5,19.0,10,fiat,linea,19.0,1248.0,93.0,160
Hyderabad,Diesel,Manual,First,7.0,5.0,14.95,5,mahindra,xylo,14.95,2489.0,93.7,169
Hyderabad,Petrol,Manual,First,5.0,3.6,18.9,7,maruti,wagon,18.9,998.0,67.1,67
Kochi,Petrol,Manual,First,5.0,3.99,17.6,8,toyota,etios,17.6,1496.0,88.7,44
Coimbatore,Petrol,Manual,First,5.0,5.64,18.9,5,hyundai,grand,18.9,1197.0,82.0,36
Pune,Diesel,Manual,First,8.0,12.0,12.99,6,toyota,innova,12.99,2494.0,100.0,160
Kolkata,Diesel,Manual,First,5.0,0.7,16.8,12,tata,indica,16.8,1405.0,62.0,133
Kolkata,Diesel,Manual,First,5.0,7.55,25.83,5,ford,figo,25.83,1498.0,99.0,1
Pune,Petrol,Manual,Third,5.0,0.99,15.26,13,chevrolet,aveo,15.26,1150.0,74.9,59
Chennai,Petrol,Manual,First,5.0,6.2,16.95,4,nissan,sunny,16.95,1498.0,97.6,90
Kolkata,Petrol,Manual,First,5.0,4.4,19.1,4,maruti,swift,19.1,1197.0,85.8,18
Kolkata,Diesel,Manual,First,5.0,2.1,20.0,8,ford,figo,20.0,1399.0,68.0,60
Jaipur,Diesel,Manual,First,5.0,2.2,20.3,9,fiat,grande,20.3,1248.0,75.0,130
Coimbatore,Petrol,Manual,First,5.0,8.34,18.6,2,hyundai,elite,18.6,1197.0,81.86,32
Kolkata,Diesel,Manual,First,5.0,4.35,23.4,6,maruti,swift,23.4,1248.0,74.0,32
Hyderabad,Diesel,Manual,First,5.0,6.8,22.7,6,ford,ecosport,22.7,1498.0,89.84,62
Jaipur,Diesel,Manual,First,5.0,3.3,19.3,10,maruti,swift,19.3,1248.0,73.9,71
Kochi,Petrol,Manual,First,5.0,5.04,18.9,4,hyundai,grand,18.9,1197.0,82.0,19
Hyderabad,Diesel,Manual,First,5.0,5.7,22.07,6,volkswagen,polo,22.07,1199.0,73.9,74
Kochi,Diesel,Manual,First,7.0,8.48,18.49,2,mahindra,tuv,18.49,1493.0,100.0,55
Ahmedabad,Petrol,Manual,First,5.0,2.75,22.5,10,maruti,wagon,22.5,998.0,67.04,21
Pune,Diesel,Manual,First,7.0,8.0,24.52,3,maruti,ertiga,24.52,1248.0,88.5,121
Jaipur,Petrol,Manual,First,5.0,1.85,19.7,10,maruti,alto,19.7,796.0,46.3,73
Jaipur,Petrol,Automatic,First,5.0,3.85,20.51,5,maruti,wagon,20.51,998.0,67.0,34
Coimbatore,Petrol,Manual,First,7.0,4.74,15.1,3,maruti,eeco,15.1,1196.0,73.0,28
Kochi,Petrol,Manual,First,5.0,2.62,18.2,9,maruti,zen,18.2,1061.0,64.0,25
Chennai,Diesel,Manual,Second,5.0,2.4,21.0,9,mahindra,verito,21.0,1461.0,64.1,110
Delhi,Petrol,Manual,First,5.0,4.25,21.7,3,renault,kwid,21.7,999.0,67.0,15
Pune,Diesel,Manual,Second,5.0,2.7,28.4,12,maruti,swift,28.4,1248.0,74.0,150
Hyderabad,Petrol,Manual,First,5.0,2.99,20.63,4,datsun,go,20.63,1198.0,67.0,19
Chennai,Petrol,Manual,First,5.0,3.4,18.5,9,hyundai,i20,18.5,1197.0,80.0,37
Mumbai,Diesel,Manual,First,7.0,5.85,20.77,8,maruti,ertiga,20.77,1248.0,88.8,88
Jaipur,Petrol,Manual,First,5.0,4.0,18.9,6,hyundai,grand,18.9,1197.0,82.0,42
Jaipur,Diesel,Manual,First,5.0,2.9,21.1,9,maruti,ritz,21.1,1248.0,73.9,79
Kochi,Petrol,Manual,First,5.0,6.95,18.6,4,hyundai,i20,18.6,1197.0,81.83,28
Kolkata,Petrol,Manual,First,5.0,2.75,20.3,6,hyundai,eon,20.3,998.0,68.05,9
Pune,Diesel,Manual,First,5.0,5.1,22.9,6,maruti,swift,22.9,1248.0,74.0,75
Chennai,Petrol,Manual,First,5.0,6.75,18.6,3,hyundai,i20,18.6,1197.0,81.83,8
Mumbai,Petrol,Manual,First,5.0,3.69,18.5,6,maruti,ritz,18.5,1197.0,85.8,59
Hyderabad,Diesel,Manual,First,5.0,5.45,22.9,7,maruti,swift,22.9,1248.0,74.0,53
Kochi,Petrol,Manual,First,5.0,9.29,17.5,2,honda,wrv,17.5,1199.0,88.7,15
Chennai,Petrol,Automatic,Second,5.0,4.0,16.9,5,hyundai,xcent,16.9,1197.0,81.86,53
Kolkata,Petrol,Manual,First,5.0,2.9,18.0,7,honda,amaze,18.0,1198.0,86.7,40
Pune,Diesel,Manual,First,5.0,4.35,22.9,8,maruti,swift,22.9,1248.0,74.0,75
Coimbatore,Petrol,Automatic,First,5.0,5.23,22.5,3,maruti,wagon,22.5,998.0,67.0,37
Coimbatore,Petrol,Manual,First,5.0,6.01,18.9,4,hyundai,grand,18.9,1197.0,81.86,43
Hyderabad,Diesel,Manual,First,5.0,4.4,25.8,6,honda,amaze,25.8,1498.0,98.6,97
Delhi,Petrol,Manual,First,5.0,2.4,15.6,9,ford,figo,15.6,1196.0,70.0,65
Kochi,Petrol,Manual,First,5.0,5.71,17.0,2,volkswagen,ameo,17.0,1198.0,73.75,46
Kochi,Diesel,Manual,Second,5.0,5.49,22.7,5,ford,ecosport,22.7,1498.0,89.84,65
Pune,Petrol,Manual,Second,5.0,1.3,13.0,16,honda,city,13.0,1343.0,90.0,73
Kolkata,Petrol,Manual,First,5.0,5.0,18.9,3,hyundai,grand,18.9,1197.0,81.86,31
Pune,Diesel,Automatic,First,5.0,9.0,28.4,3,maruti,dzire,28.4,1248.0,73.75,41
Kochi,Diesel,Manual,First,5.0,5.22,22.9,4,maruti,swift,22.9,1248.0,74.0,38
Pune,Petrol,Manual,First,5.0,3.8,16.47,8,volkswagen,polo,16.47,1198.0,73.9,19
Coimbatore,Petrol,Manual,First,5.0,7.27,18.16,1,toyota,etios,18.16,1197.0,78.9,20
Mumbai,Petrol,Manual,First,5.0,5.1,22.0,4,maruti,swift,22.0,1197.0,81.8,23
Pune,Petrol,Manual,First,5.0,2.9,18.9,7,maruti,wagon,18.9,998.0,67.1,61
Kochi,Petrol,Manual,First,4.0,1.38,26.0,8,tata,nano,26.0,624.0,35.0,4
Hyderabad,Diesel,Manual,First,5.0,5.25,22.95,3,tata,bolt,22.95,1248.0,74.0,40
Kolkata,Petrol,Manual,First,5.0,1.95,21.1,7,hyundai,eon,21.1,814.0,55.2,36
Kochi,Diesel,Manual,First,7.0,8.31,12.99,7,toyota,innova,12.99,2494.0,100.0,62
Pune,Diesel,Manual,First,5.0,5.5,24.4,5,hyundai,xcent,24.4,1120.0,71.0,58
Mumbai,Petrol,Manual,First,5.0,2.75,17.0,10,hyundai,i20,17.0,1197.0,80.0,73
Hyderabad,Diesel,Manual,First,5.0,4.95,20.0,5,ford,figo,20.0,1399.0,68.05,36
Kochi,Petrol,Manual,First,5.0,6.27,18.6,1,hyundai,i20,18.6,1197.0,81.83,27
Kolkata,Petrol,Manual,First,5.0,3.5,18.9,6,hyundai,grand,18.9,1197.0,82.0,37
Kolkata,Petrol,Manual,First,5.0,4.45,17.5,5,maruti,swift,17.5,1298.0,85.8,27
Kolkata,Petrol,Manual,First,5.0,2.65,18.5,8,hyundai,i20,18.5,1197.0,80.0,37
Kolkata,Diesel,Manual,First,5.0,4.7,25.32,3,mahindra,kuv,25.32,1198.0,77.0,10
Coimbatore,Diesel,Manual,First,5.0,9.58,24.3,3,maruti,vitara,24.3,1248.0,88.5,71
Pune,Diesel,Manual,Second,5.0,7.0,22.54,5,hyundai,i20,22.54,1396.0,88.73,29
Jaipur,Petrol,Manual,Second,5.0,2.7,18.5,9,hyundai,i20,18.5,1197.0,80.0,82
Mumbai,Petrol,Manual,Second,5.0,2.5,19.4,8,honda,brio,19.4,1198.0,86.8,70
Hyderabad,Diesel,Manual,First,7.0,3.9,19.3,7,nissan,evalia,19.3,1461.0,84.8,166
Delhi,Petrol,Manual,First,5.0,3.95,16.47,5,volkswagen,polo,16.47,1198.0,73.9,58
Chennai,Petrol,Manual,Second,5.0,2.1,20.36,10,hyundai,i10,20.36,1197.0,78.9,77
Hyderabad,Petrol,Manual,Second,5.0,2.0,19.81,13,hyundai,i10,19.81,1086.0,68.05,70
Delhi,Diesel,Manual,First,7.0,5.35,20.77,6,maruti,ertiga,20.77,1248.0,88.76,79
Delhi,Diesel,Manual,First,5.0,3.8,25.8,7,honda,amaze,25.8,1498.0,98.6,90
Kochi,Petrol,Manual,First,5.0,5.53,18.9,2,hyundai,grand,18.9,1197.0,81.86,46
Pune,Petrol,Manual,Third,5.0,1.95,20.36,11,hyundai,i10,20.36,1197.0,78.9,68
Hyderabad,Diesel,Manual,First,5.0,8.2,28.4,3,maruti,swift,28.4,1248.0,74.0,2
Pune,Petrol,Manual,First,5.0,0.9,13.0,21,honda,city,13.0,1343.0,90.0,140
Mumbai,Petrol,Manual,Second,5.0,2.1,14.49,9,chevrolet,aveo,14.49,1399.0,92.7,57
Chennai,Petrol,Manual,Second,5.0,2.0,19.81,12,hyundai,i10,19.81,1086.0,68.05,85
Delhi,Diesel,Manual,First,5.0,3.7,24.4,5,hyundai,xcent,24.4,1120.0,71.0,54
Mumbai,Petrol,Automatic,First,5.0,3.8,23.1,6,maruti,celerio,23.1,998.0,67.04,53
Jaipur,Petrol,Manual,First,5.0,3.25,20.36,6,hyundai,i10,20.36,1197.0,78.9,60
Coimbatore,Diesel,Manual,First,5.0,5.53,19.87,5,renault,duster,19.87,1461.0,83.8,65
Kolkata,Petrol,Manual,First,5.0,5.1,18.9,2,hyundai,grand,18.9,1197.0,82.0,1
Pune,Petrol,Manual,Second,5.0,1.6,18.0,11,chevrolet,spark,18.0,995.0,62.0,44
Delhi,Diesel,Manual,First,5.0,3.6,23.2,6,maruti,ritz,23.2,1248.0,73.94,32
Kochi,Diesel,Manual,First,5.0,7.52,26.0,4,honda,city,26.0,1498.0,98.6,55
Mumbai,Petrol,Manual,First,7.0,2.9,15.1,6,maruti,eeco,15.1,1196.0,73.0,34
Delhi,Petrol,Manual,First,5.0,7.65,20.73,3,maruti,ciaz,20.73,1373.0,91.1,17
Delhi,Diesel,Manual,First,5.0,6.4,28.09,4,maruti,ciaz,28.09,1248.0,88.5,66
Kolkata,Petrol,Manual,First,5.0,4.25,19.1,6,maruti,swift,19.1,1197.0,85.8,48
Pune,Diesel,Manual,First,5.0,4.4,25.0,3,tata,indica,25.0,1396.0,69.0,8
Jaipur,Petrol,Manual,First,5.0,3.25,18.5,8,hyundai,i20,18.5,1197.0,82.85,100
Pune,Diesel,Manual,First,5.0,2.8,17.8,8,ford,fiesta,17.8,1399.0,68.0,78
Kolkata,Diesel,Manual,First,8.0,4.3,18.2,5,chevrolet,enjoy,18.2,1248.0,73.74,50
Chennai,Diesel,Manual,Third,5.0,1.55,17.8,14,ford,fiesta,17.8,1399.0,68.0,89
Kochi,Petrol,Manual,First,5.0,7.07,18.7,3,honda,jazz,18.7,1199.0,88.7,24
Delhi,Petrol,Manual,First,5.0,5.75,18.9,2,hyundai,grand,18.9,1197.0,81.86,9
Mumbai,Petrol,Manual,First,5.0,3.25,18.5,8,maruti,ritz,18.5,1197.0,85.8,29
Kolkata,Petrol,Manual,First,5.0,4.95,18.7,4,honda,jazz,18.7,1199.0,88.7,21
Delhi,Diesel,Manual,First,5.0,3.75,17.8,6,maruti,swift,17.8,1248.0,75.0,62
Kolkata,Petrol,Manual,First,5.0,1.97,21.1,6,hyundai,eon,21.1,814.0,55.2,26
Jaipur,Diesel,Manual,Second,5.0,1.4,20.0,10,ford,figo,20.0,1399.0,68.0,90
Coimbatore,Petrol,Manual,First,5.0,7.27,17.0,2,volkswagen,ameo,17.0,1198.0,73.75,35
Kolkata,Diesel,Manual,First,5.0,4.0,21.64,7,renault,scala,21.64,1461.0,84.8,40
Kolkata,Petrol,Manual,First,5.0,4.75,18.7,5,honda,jazz,18.7,1199.0,88.7,45
Delhi,Petrol,Manual,First,5.0,5.1,17.0,5,hyundai,i20,17.0,1197.0,80.0,42
Kolkata,Diesel,Manual,First,5.0,1.6,18.7,18,skoda,octavia,18.7,1896.0,66.0,69
Kochi,Petrol,Manual,First,5.0,9.96,20.73,2,maruti,ciaz,20.73,1373.0,91.1,15
Hyderabad,Diesel,Manual,Second,5.0,4.75,22.9,7,maruti,swift,22.9,1248.0,74.0,99
Bangalore,Diesel,Manual,Third,10.0,3.65,13.1,18,toyota,qualis,13.1,2446.0,75.0,63
Mumbai,Petrol,Manual,First,8.0,2.25,16.8,7,maruti,omni,16.8,796.0,34.2,11
Coimbatore,Diesel,Manual,First,5.0,7.48,27.3,4,honda,jazz,27.3,1498.0,98.6,45
Jaipur,Petrol,Manual,Second,,1.7,13.0,15,honda,city,13.0,1493.0,100.0,88
Mumbai,Petrol,Manual,First,5.0,3.85,19.1,8,maruti,swift,19.1,1197.0,85.8,88
Delhi,Diesel,Manual,First,5.0,5.75,28.4,4,maruti,dzire,28.4,1248.0,73.75,45
Kochi,Petrol,Manual,First,5.0,2.21,18.6,8,chevrolet,beat,18.6,1199.0,79.4,83
Kochi,Diesel,Manual,First,5.0,8.09,23.0,3,ford,ecosport,23.0,1498.0,98.96,78
Mumbai,Petrol,Automatic,First,5.0,2.6,19.2,11,hyundai,i10,19.2,1197.0,80.0,21
Kolkata,Petrol,Manual,First,5.0,2.45,20.36,8,hyundai,i10,20.36,1197.0,78.9,58
Mumbai,Diesel,Manual,First,5.0,8.99,23.0,3,ford,ecosport,23.0,1498.0,98.96,26
Jaipur,Diesel,Manual,First,5.0,8.2,28.4,3,maruti,dzire,28.4,1248.0,73.75,24
Coimbatore,Diesel,Manual,First,5.0,7.3,22.54,4,hyundai,i20,22.54,1396.0,88.73,44
Chennai,Petrol,Manual,First,5.0,1.59,19.7,12,maruti,alto,19.7,796.0,46.3,65
Delhi,Petrol,Manual,Second,5.0,3.15,20.36,5,hyundai,i10,20.36,1197.0,78.9,34
Hyderabad,Diesel,Manual,First,5.0,3.0,19.5,10,skoda,fabia,19.5,1199.0,75.0,66
Hyderabad,Diesel,Manual,First,5.0,7.75,27.3,4,honda,jazz,27.3,1498.0,98.6,43
Coimbatore,Diesel,Manual,First,5.0,5.79,22.9,6,maruti,swift,22.9,1248.0,74.0,83
Bangalore,Diesel,Manual,First,7.0,4.45,15.3,6,tata,sumo,15.3,2956.0,83.8,66
Delhi,Petrol,Manual,First,5.0,3.3,18.5,8,hyundai,i20,18.5,1197.0,82.85,54
Jaipur,Diesel,Manual,Second,5.0,1.75,20.4,11,fiat,linea,20.4,1248.0,91.2,80
Hyderabad,Diesel,Manual,First,5.0,3.75,21.9,9,hyundai,i20,21.9,1396.0,90.0,75
Kochi,Diesel,Manual,First,7.0,6.32,24.2,5,honda,mobilio,24.2,1498.0,98.6,50
Mumbai,Petrol,Manual,First,5.0,2.1,20.36,10,hyundai,i10,20.36,1197.0,78.9,62
Hyderabad,Diesel,Manual,First,5.0,9.3,24.3,4,maruti,vitara,24.3,1248.0,88.5,41
Hyderabad,Petrol,Manual,First,5.0,1.8,19.7,14,maruti,alto,19.7,796.0,46.3,71
Delhi,Diesel,Manual,First,5.0,4.74,22.9,5,maruti,swift,22.9,1248.0,74.0,51
Kochi,Petrol,Manual,First,5.0,5.43,18.9,4,hyundai,grand,18.9,1197.0,82.0,26
Kochi,Diesel,Manual,First,5.0,8.45,22.77,3,ford,ecosport,22.77,1498.0,98.59,30
Pune,Petrol,Manual,First,5.0,5.0,18.16,4,ford,figo,18.16,1196.0,86.8,54
Hyderabad,Petrol,Manual,First,5.0,4.7,19.1,8,maruti,swift,19.1,1197.0,85.8,65
Jaipur,Petrol,Manual,Second,5.0,1.51,18.9,11,maruti,wagon,18.9,1061.0,67.0,111
Mumbai,Petrol,Manual,First,5.0,5.95,20.73,5,maruti,ciaz,20.73,1373.0,91.1,35
Chennai,Petrol,Manual,First,5.0,3.4,23.1,6,maruti,celerio,23.1,998.0,67.04,41
Pune,Diesel,Manual,First,5.0,5.5,23.4,2,maruti,swift,23.4,1248.0,74.0,12
Hyderabad,Diesel,Manual,First,5.0,3.95,21.9,8,hyundai,i20,21.9,1396.0,90.0,71
Mumbai,Diesel,Manual,Second,5.0,4.25,28.4,8,maruti,dzire,28.4,1248.0,73.75,74
Hyderabad,Diesel,Manual,First,7.0,6.5,20.77,8,maruti,ertiga,20.77,1248.0,88.76,82
Bangalore,Petrol,Manual,First,5.0,2.95,15.6,9,ford,figo,15.6,1196.0,70.0,68
Coimbatore,Diesel,Manual,First,5.0,7.12,21.43,7,toyota,corolla,21.43,1364.0,86.79,63
Chennai,Diesel,Automatic,First,5.0,11.25,24.3,2,maruti,vitara,24.3,1248.0,88.5,3
Mumbai,Petrol,Manual,First,5.0,3.67,20.14,6,hyundai,xcent,20.14,1197.0,81.86,64
Pune,Petrol,Manual,First,5.0,2.3,15.7,12,mahindra,renault,15.7,1390.0,75.0,2
Pune,Diesel,Manual,First,5.0,2.2,18.7,12,skoda,octavia,18.7,1896.0,66.0,88
Bangalore,Diesel,Manual,First,5.0,1.99,13.8,11,ford,ikon,13.8,1399.0,68.0,75
Pune,Petrol,Manual,First,5.0,5.0,18.9,4,hyundai,grand,18.9,1197.0,82.0,25
Mumbai,Petrol,Manual,First,5.0,5.4,17.0,3,volkswagen,ameo,17.0,1198.0,73.75,12
Kolkata,Petrol,Manual,First,5.0,2.99,25.17,3,renault,kwid,25.17,799.0,53.3,25
Kochi,Petrol,Automatic,First,5.0,6.76,18.9,2,hyundai,grand,18.9,1197.0,81.86,5
Chennai,Petrol,Manual,Second,5.0,5.5,18.78,4,volkswagen,polo,18.78,999.0,75.0,42
Coimbatore,Diesel,Manual,First,5.0,5.99,25.2,6,maruti,swift,25.2,1248.0,74.0,44
Delhi,Diesel,Manual,First,5.0,2.59,21.64,8,nissan,sunny,21.64,1461.0,84.8,70
Pune,Diesel,Manual,First,5.0,8.5,28.09,4,maruti,ciaz,28.09,1248.0,88.5,50
Pune,Petrol,Manual,First,5.0,3.35,15.6,6,ford,figo,15.6,1196.0,70.02,21
Coimbatore,Petrol,Manual,First,7.0,3.75,15.1,7,maruti,eeco,15.1,1196.0,73.0,54
Jaipur,Petrol,Manual,Second,5.0,1.5,18.9,14,maruti,wagon,18.9,998.0,67.1,101
Chennai,Petrol,Manual,First,5.0,1.45,14.0,15,maruti,wagon,14.0,1061.0,64.0,66
Kolkata,Diesel,Manual,First,5.0,2.49,22.07,9,volkswagen,polo,22.07,1199.0,73.9,66
Hyderabad,Diesel,Manual,First,5.0,6.25,22.7,6,ford,ecosport,22.7,1498.0,89.84,85
Hyderabad,Diesel,Manual,First,5.0,4.88,24.0,5,hyundai,grand,24.0,1120.0,70.0,35
Kolkata,Petrol,Manual,First,5.0,1.99,21.1,8,hyundai,eon,21.1,814.0,55.2,60
Hyderabad,Petrol,Manual,First,5.0,2.8,20.36,10,hyundai,i10,20.36,1197.0,78.9,70
Hyderabad,Diesel,Manual,First,7.0,4.3,15.96,8,mahindra,bolero,15.96,2523.0,62.1,75
Ahmedabad,Petrol,Manual,First,5.0,5.9,20.4,5,maruti,swift,20.4,1197.0,81.8,40
Hyderabad,Diesel,Manual,Second,5.0,2.4,17.8,11,ford,fiesta,17.8,1399.0,68.0,55
Coimbatore,Petrol,Automatic,First,5.0,7.6,18.9,3,hyundai,grand,18.9,1197.0,82.0,22
Hyderabad,Petrol,Automatic,First,5.0,3.6,17.16,8,maruti,ritz,17.16,1197.0,85.8,57
Chennai,Petrol,Manual,First,5.0,2.1,19.7,9,maruti,alto,19.7,796.0,46.3,75
Mumbai,Petrol,Manual,First,5.0,6.36,20.89,3,maruti,ignis,20.89,1197.0,81.8,1
Pune,Petrol,Manual,First,5.0,4.15,18.0,7,honda,amaze,18.0,1198.0,86.7,47
Delhi,Petrol,Manual,First,5.0,2.1,19.81,9,hyundai,i10,19.81,1086.0,68.05,62
Delhi,Diesel,Manual,First,7.0,6.95,18.49,4,mahindra,tuv,18.49,1493.0,100.0,47
Pune,Petrol,Manual,Second,5.0,2.4,17.5,12,maruti,swift,17.5,1298.0,85.8,56
Chennai,Petrol,Manual,First,5.0,2.65,13.2,13,hyundai,accent,13.2,1495.0,94.0,55
Pune,Petrol,Manual,First,5.0,2.1,20.92,8,maruti,alto,20.92,998.0,67.1,69
Pune,Petrol,Manual,Second,5.0,2.5,18.6,9,chevrolet,beat,18.6,1199.0,79.4,65
Chennai,Petrol,Manual,First,5.0,4.0,17.57,5,tata,zest,17.57,1193.0,88.7,40
Kolkata,Diesel,Manual,First,5.0,4.45,26.0,6,honda,city,26.0,1498.0,98.6,40
Jaipur,Petrol,Manual,First,5.0,1.5,18.6,10,chevrolet,beat,18.6,1199.0,79.4,26
Kolkata,Diesel,Manual,First,5.0,8.41,26.1,5,ford,aspire,26.1,1498.0,99.0,2
Hyderabad,Petrol,Manual,First,5.0,3.65,20.36,8,hyundai,i10,20.36,1197.0,78.9,45
Coimbatore,Petrol,Manual,First,5.0,5.89,18.9,4,hyundai,grand,18.9,1197.0,81.86,37
Hyderabad,Diesel,Manual,First,5.0,8.45,28.09,4,maruti,ciaz,28.09,1248.0,88.5,46
Mumbai,Petrol,Automatic,First,5.0,3.94,23.1,4,maruti,celerio,23.1,998.0,67.04,47
Hyderabad,Diesel,Manual,First,5.0,4.1,20.0,7,ford,figo,20.0,1399.0,68.0,71
Kolkata,Diesel,Manual,First,5.0,5.25,28.4,5,maruti,dzire,28.4,1248.0,73.75,28
Ahmedabad,Petrol,Manual,First,5.0,4.3,18.9,5,hyundai,grand,18.9,1197.0,81.86,20
Kolkata,Diesel,Manual,First,7.0,3.9,17.21,7,mahindra,quanto,17.21,1493.0,100.0,36
Mumbai,Diesel,Manual,First,6.0,3.7,25.32,4,mahindra,kuv,25.32,1198.0,77.0,34
Jaipur,Petrol,Manual,First,5.0,2.41,22.74,7,maruti,alto,22.74,796.0,47.3,86
Hyderabad,Diesel,Manual,Second,5.0,5.8,23.59,5,toyota,etios,23.59,1364.0,67.05,116
Kolkata,Petrol,Manual,First,5.0,1.0,17.3,11,maruti,zen,17.3,993.0,60.0,37
Hyderabad,Petrol,Manual,Second,5.0,2.15,19.7,9,maruti,alto,19.7,796.0,46.3,76
Kochi,Petrol,Automatic,First,5.0,7.89,21.4,2,maruti,baleno,21.4,1197.0,83.1,21
Mumbai,Petrol,Manual,First,5.0,6.0,19.0,13,ford,freestyle,19.0,1194.0,94.68,1
Coimbatore,Petrol,Manual,First,5.0,7.53,18.6,3,hyundai,elite,18.6,1197.0,81.86,59
Kochi,Petrol,Manual,First,5.0,7.74,21.4,3,maruti,baleno,21.4,1197.0,83.1,25
Bangalore,Petrol,Manual,First,5.0,2.5,20.36,12,hyundai,i10,20.36,1197.0,78.9,84
Mumbai,Petrol,Manual,First,5.0,5.8,21.4,4,maruti,baleno,21.4,1197.0,83.1,12
Jaipur,Diesel,Manual,First,5.0,3.9,21.9,8,hyundai,i20,21.9,1396.0,90.0,51
Pune,Diesel,Manual,First,7.0,2.7,13.6,13,mahindra,bolero,13.6,2523.0,63.0,92
Hyderabad,Petrol,Manual,First,5.0,3.2,18.9,8,maruti,wagon,18.9,998.0,67.1,52
Delhi,Diesel,Manual,First,7.0,4.85,25.47,7,maruti,ertiga,25.47,1248.0,88.5,68
Chennai,Diesel,Manual,First,7.0,8.1,24.52,3,maruti,ertiga,24.52,1248.0,88.5,80
Chennai,Diesel,Manual,Second,5.0,2.35,25.0,4,tata,indigo,25.0,1396.0,69.01,78
Pune,Petrol,Manual,First,5.0,1.8,20.92,8,maruti,alto,20.92,998.0,67.1,100
Coimbatore,Petrol,Manual,First,5.0,3.42,21.1,5,hyundai,eon,21.1,814.0,55.2,31
Mumbai,Petrol,Automatic,First,5.0,6.1,19.12,6,maruti,ciaz,19.12,1373.0,91.1,46
Coimbatore,Petrol,Manual,Second,5.0,3.69,21.1,7,hyundai,eon,21.1,814.0,55.2,54
Hyderabad,Diesel,Manual,First,5.0,5.65,28.4,7,maruti,swift,28.4,1248.0,74.0,84
Kolkata,Diesel,Manual,First,5.0,2.5,21.1,9,maruti,ritz,21.1,1248.0,73.9,77
Kolkata,Petrol,Manual,First,5.0,3.55,19.1,7,maruti,swift,19.1,1197.0,85.8,40
